model,subset_fraction,subset_draw_id,seed,train_budget_type,confidence_definition,evalset,exact_match,f1
google/electra-small-discriminator,0.333,5.0,42,same_epochs,joint,addsent,43.90449438202247,51.12406092791522
google/electra-small-discriminator,0.333,5.0,42,same_epochs,joint,squad_dev,70.68117313150425,80.10143682620863
google/electra-small-discriminator,0.333,6.0,13,same_epochs,joint,addonesent,53.6094012311136,61.58202293593698
google/electra-small-discriminator,0.333,6.0,13,same_epochs,joint,addsent,44.07303370786517,51.29694583350026
google/electra-small-discriminator,0.333,6.0,13,same_epochs,joint,squad_dev,71.17313150425733,80.566874137916
google/electra-small-discriminator,0.333,6.0,21,same_epochs,joint,addonesent,52.993844432008956,61.10808839128005
google/electra-small-discriminator,0.333,6.0,21,same_epochs,joint,addsent,42.78089887640449,50.15180285397233
google/electra-small-discriminator,0.333,6.0,21,same_epochs,joint,squad_dev,70.2554399243141,79.79258431147717
google/electra-small-discriminator,0.333,6.0,42,same_epochs,joint,addonesent,54.22495803021824,62.841034520025985
google/electra-small-discriminator,0.333,6.0,42,same_epochs,joint,addsent,44.71910112359551,52.65022596390969
google/electra-small-discriminator,0.333,6.0,42,same_epochs,joint,squad_dev,71.52317880794702,80.94594933974747
google/electra-small-discriminator,0.333,7.0,13,same_epochs,joint,addonesent,51.482932288752096,59.71409221382925
google/electra-small-discriminator,0.333,7.0,13,same_epochs,joint,addsent,41.741573033707866,49.480645545955696
google/electra-small-discriminator,0.333,7.0,13,same_epochs,joint,squad_dev,70.88930936613056,80.21581326799803
google/electra-small-discriminator,0.333,7.0,21,same_epochs,joint,addonesent,54.11303861219922,62.4500611878447
google/electra-small-discriminator,0.333,7.0,21,same_epochs,joint,addsent,43.79213483146067,51.59729956064228
google/electra-small-discriminator,0.333,7.0,21,same_epochs,joint,squad_dev,71.0879848628193,80.49356631857788
google/electra-small-discriminator,0.333,7.0,42,same_epochs,joint,addonesent,53.10576385002798,61.497236810289024
google/electra-small-discriminator,0.333,7.0,42,same_epochs,joint,addsent,43.342696629213485,50.899953467001204
google/electra-small-discriminator,0.333,7.0,42,same_epochs,joint,squad_dev,70.89877010406812,80.51317555140615
google/electra-small-discriminator,0.333,8.0,13,same_epochs,joint,addonesent,53.04980414101847,61.60502701807602
google/electra-small-discriminator,0.333,8.0,13,same_epochs,joint,addsent,43.31460674157304,51.03908389505268
google/electra-small-discriminator,0.333,8.0,13,same_epochs,joint,squad_dev,70.98391674550615,80.56365380485981
google/electra-small-discriminator,0.333,8.0,21,same_epochs,joint,addonesent,51.594851706771124,60.06619923202797
google/electra-small-discriminator,0.333,8.0,21,same_epochs,joint,addsent,41.40449438202247,49.09417063113703
google/electra-small-discriminator,0.333,8.0,21,same_epochs,joint,squad_dev,70.28382213812678,79.7844661485016
google/electra-small-discriminator,0.333,8.0,42,same_epochs,joint,addonesent,52.37828763290431,61.58170315560604
google/electra-small-discriminator,0.333,8.0,42,same_epochs,joint,addsent,43.08988764044944,51.27717294040582
google/electra-small-discriminator,0.333,8.0,42,same_epochs,joint,squad_dev,70.50141911069063,80.18703046317371
google/electra-small-discriminator,0.333,9.0,13,same_epochs,joint,addonesent,54.33687744823727,61.855249320001
google/electra-small-discriminator,0.333,9.0,13,same_epochs,joint,addsent,44.07303370786517,51.083430644986095
google/electra-small-discriminator,0.333,9.0,13,same_epochs,joint,squad_dev,71.37180700094608,80.59553673465962
google/electra-small-discriminator,0.333,9.0,21,same_epochs,joint,addonesent,54.39283715724678,62.71529608039974
google/electra-small-discriminator,0.333,9.0,21,same_epochs,joint,addsent,44.550561797752806,52.26085950027503
google/electra-small-discriminator,0.333,9.0,21,same_epochs,joint,squad_dev,71.74077578051087,80.85268074258131
google/electra-small-discriminator,0.333,9.0,42,same_epochs,joint,addonesent,54.00111919418019,62.95016274078453
google/electra-small-discriminator,0.333,9.0,42,same_epochs,joint,addsent,44.12921348314607,51.95310126998192
google/electra-small-discriminator,0.333,9.0,42,same_epochs,joint,squad_dev,71.3434247871334,80.86696226898805
