idx,n_records,confidence,variability,correctness,region
88,3,0.9465475281079611,0.054170164470107744,1.0,Easy-to-learn
89,3,0.8986104528109232,0.05332385008001183,1.0,Easy-to-learn
90,3,0.8706741531689962,0.1400567230700727,1.0,Easy-to-learn
91,3,0.559530861210078,0.390164616292587,0.6666666666666666,Ambiguous
92,3,0.6318451892584562,0.4381530711155649,0.6666666666666666,Ambiguous
93,3,0.3615766329069932,0.2708296233486216,0.6666666666666666,Ambiguous
94,3,0.6953824957211813,0.08871631641812172,1.0,Easy-to-learn
95,3,0.9551611940066019,0.02259400328310243,1.0,Easy-to-learn
96,3,0.23652602235476175,0.18317524292172027,0.3333333333333333,Hard-to-learn
97,3,0.3369940270980199,0.11176259331182326,0.3333333333333333,Hard-to-learn
98,3,0.8712486227353414,0.1131164069246615,1.0,Easy-to-learn
99,3,0.4241788337628047,0.28704675907131094,0.6666666666666666,Ambiguous
100,3,0.6642741238465533,0.4695187287841162,0.6666666666666666,Ambiguous
101,3,0.5148240476846695,0.30946516960646303,0.6666666666666666,Ambiguous
102,3,0.7033292849858602,0.19517163840619353,1.0,Easy-to-learn
103,3,0.010581968623531187,0.014033955872624378,0.0,Hard-to-learn
104,3,0.22981379429499307,0.06647147994749186,0.0,Hard-to-learn
105,3,0.8257131377855936,0.23023817029912266,1.0,Easy-to-learn
106,3,0.36225811392068863,0.20965732127677553,0.6666666666666666,Ambiguous
107,3,0.6425135731697083,0.24616749873781843,1.0,Easy-to-learn
108,3,0.6473323504130045,0.3689924562066498,0.6666666666666666,Ambiguous
109,3,0.5942747704684734,0.3936127691950565,0.6666666666666666,Ambiguous
110,3,0.5395523011684418,0.2945946085110207,0.6666666666666666,Ambiguous
111,3,0.8861870765686035,0.12853864295089668,1.0,Easy-to-learn
112,3,0.2768191496531169,0.26799234313636877,0.6666666666666666,Ambiguous
113,3,0.7757141987482706,0.14613191932979105,1.0,Easy-to-learn
114,3,0.23223775873581567,0.17354999741557708,0.3333333333333333,Hard-to-learn
115,3,0.6302903493245443,0.11438947296633876,1.0,Easy-to-learn
116,3,0.04991834548612436,0.02754621937722105,0.0,Hard-to-learn
117,3,0.2693629985054334,0.228306751874085,0.3333333333333333,Hard-to-learn
118,3,0.27003411622717977,0.19709451982238596,0.6666666666666666,Ambiguous
119,3,0.5010719895362854,0.27553975268285297,1.0,Easy-to-learn
120,3,0.1521657162035505,0.13676278649713494,0.0,Hard-to-learn
121,3,0.21404253132641315,0.13395410148786138,0.3333333333333333,Hard-to-learn
122,3,0.32928397490953404,0.29837205596810884,0.3333333333333333,Hard-to-learn
123,3,0.20723779996236166,0.0912041136443239,0.0,Hard-to-learn
124,3,0.6732194423675537,0.3843233440797443,0.6666666666666666,Ambiguous
125,3,0.7890699903170267,0.14140364629091887,1.0,Easy-to-learn
126,3,0.7083033422629038,0.36975463842182327,0.6666666666666666,Ambiguous
127,3,0.8360867102940878,0.20498132773644695,1.0,Easy-to-learn
128,3,0.5196026762326559,0.16220846587467702,1.0,Easy-to-learn
129,3,0.050819695594024474,0.03726695715006164,0.0,Hard-to-learn
130,3,0.021024740068241954,0.02286872702088483,0.0,Hard-to-learn
131,3,0.26690491785605747,0.27379807921094085,0.3333333333333333,Hard-to-learn
132,3,0.314340482155482,0.15305359611409586,0.3333333333333333,Hard-to-learn
133,3,0.1480895302568873,0.10924098497467269,0.0,Hard-to-learn
134,3,0.7903677622477213,0.12349220860291871,1.0,Easy-to-learn
135,3,0.5384971871972084,0.37781908146537063,0.6666666666666666,Ambiguous
136,3,0.8845932483673096,0.059437116123071565,1.0,Easy-to-learn
137,3,0.9193299611409506,0.0412915676064246,1.0,Easy-to-learn
138,3,0.6429452002048492,0.16568529931172582,1.0,Easy-to-learn
139,3,0.7805367906888326,0.16878208463530667,1.0,Easy-to-learn
140,3,0.6828904946645101,0.0720108666804513,1.0,Easy-to-learn
141,3,0.9029598037401835,0.11293358823483705,1.0,Easy-to-learn
142,3,0.6665274302164713,0.4675064442490657,0.6666666666666666,Ambiguous
143,3,0.9422437151273092,0.04842094893473507,1.0,Easy-to-learn
144,3,0.9909934004147848,0.004887661847051778,1.0,Easy-to-learn
