model,train_subset,subset_fraction,train_budget_type,confidence_definition,n_seeds,n_random_draws,addonesent_em_mean,addonesent_em_std,addonesent_em_ci_low,addonesent_em_ci_high,addonesent_f1_mean,addonesent_f1_std,addonesent_f1_ci_low,addonesent_f1_ci_high,addsent_em_mean,addsent_em_std,addsent_em_ci_low,addsent_em_ci_high,addsent_f1_mean,addsent_f1_std,addsent_f1_ci_low,addsent_f1_ci_high,squad_dev_em_mean,squad_dev_em_std,squad_dev_em_ci_low,squad_dev_em_ci_high,squad_dev_f1_mean,squad_dev_f1_std,squad_dev_f1_ci_low,squad_dev_f1_ci_high,addsent_drop_f1_mean,addsent_drop_f1_std,addsent_drop_f1_ci_low,addsent_drop_f1_ci_high,addonesent_drop_f1_mean,addonesent_drop_f1_std,addonesent_drop_f1_ci_low,addonesent_drop_f1_ci_high,addsent_drop_em_mean,addsent_drop_em_std,addsent_drop_em_ci_low,addsent_drop_em_ci_high,addonesent_drop_em_mean,addonesent_drop_em_std,addonesent_drop_em_ci_low,addonesent_drop_em_ci_high
bert-base-uncased,full,1.0,same_epochs,joint,5,0,67.45383324006715,0.661651091387014,66.93900391717963,67.96866256295468,74.47185810068156,0.696971577437734,73.95659133167673,74.9637811892896,59.297752808988776,1.0478318794154198,58.460674157303366,60.140449438202246,66.16041800400492,1.015281810497541,65.38595380591937,66.98546282278373,80.78145695364239,0.16958224309884312,80.63008514664143,80.88741721854305,88.40356101147168,0.157668199016777,88.28928852499781,88.53090959569155,22.243143007466756,0.9740308306165895,21.787245521373936,22.723580810729857,13.931702910790117,0.696226394709828,13.614544471674158,14.287309294606633,21.48370414465362,0.9663648980295934,21.022255765912288,21.96174601993487,13.327623713575235,0.6197212790225411,13.048228869033283,13.63962935648805
bert-base-uncased,random,0.333,same_epochs,joint,3,6,61.65114059053952,0.8756319284936708,61.24625563711775,62.052733796372486,69.41303424517048,0.5696629171447081,69.1502309093508,69.66640172770714,53.273298083278256,1.077491514520529,52.784203569068076,53.777305023132854,60.78815706404589,0.8708152650849422,60.39184654215354,61.19129294357369,76.334242306194,0.2892518636756759,76.19455729311593,76.46057098336023,85.08905680847488,0.2135794865908025,84.98943120218173,85.18435674032072,24.300899744428985,0.8782864010362214,24.05724081330795,24.539809975154114,15.676022563304393,0.604391574435696,15.511571750495582,15.843313346032506,23.060944222915744,1.0047147422393319,22.781621041898426,23.33056791992785,14.683101715654482,0.810559439147033,14.463032732521402,14.900161705672945
