idx,n_records,confidence,variability,correctness,region
0,3,0.698526402314504,0.1996075524282766,1.0,Easy-to-learn
1,3,0.3631609380245209,0.08928379363609551,1.0,Easy-to-learn
2,3,0.025522778431574505,0.03394197412339456,0.0,Hard-to-learn
3,3,0.30061181883017224,0.13349567365255985,1.0,Easy-to-learn
4,3,0.004528699636769791,0.004795843953430827,0.0,Hard-to-learn
5,3,0.9137477874755859,0.048534120065604945,1.0,Easy-to-learn
6,3,0.16487804986536503,0.18104437433461465,0.0,Hard-to-learn
7,3,0.14826304418966174,0.10096518251636626,0.3333333333333333,Hard-to-learn
8,3,0.25545766949653625,0.24732514409179418,0.3333333333333333,Hard-to-learn
9,3,0.6990052163600922,0.259733019179836,1.0,Easy-to-learn
10,3,0.8142331043879191,0.11169916659666414,1.0,Easy-to-learn
11,3,0.8426657517751058,0.07358189005173085,1.0,Easy-to-learn
12,3,0.829784095287323,0.0681623049837079,1.0,Easy-to-learn
13,3,0.7084349592526754,0.2493173135541968,1.0,Easy-to-learn
14,3,0.33982472618420917,0.2535354648254141,0.3333333333333333,Hard-to-learn
15,3,0.655889610449473,0.13983328745466336,1.0,Easy-to-learn
16,3,0.9036581118901571,0.009533716918980618,1.0,Easy-to-learn
17,3,0.024152545772570495,0.020123336200308723,0.0,Hard-to-learn
18,3,0.8622751235961914,0.04205420093708567,1.0,Easy-to-learn
19,3,0.1342754658932487,0.11951221995467547,0.0,Hard-to-learn
20,3,0.5705306828022003,0.40014900050892466,0.6666666666666666,Ambiguous
21,3,0.7156266967455546,0.07403944887032966,1.0,Easy-to-learn
22,3,0.2562574967741966,0.11972313996876513,0.3333333333333333,Hard-to-learn
23,3,0.4450054660871198,0.3603111705601838,0.6666666666666666,Ambiguous
24,3,0.3041522469497598,0.36273535659708867,0.3333333333333333,Hard-to-learn
25,3,0.2307173858086268,0.09829581067703216,0.0,Hard-to-learn
26,3,0.08060406132911642,0.06801646136351114,0.0,Hard-to-learn
27,3,0.10624248037735622,0.07134147831657738,0.0,Hard-to-learn
28,3,0.1611211895942688,0.020276564110042302,0.6666666666666666,Ambiguous
29,3,0.26415541271368664,0.10457123502534939,0.6666666666666666,Ambiguous
30,3,0.0978003884665668,0.07084744661071175,0.0,Hard-to-learn
31,3,0.6769307218492031,0.44812364414874684,0.6666666666666666,Ambiguous
32,3,0.4895884394645691,0.19317943336059537,0.6666666666666666,Ambiguous
33,3,0.3671712825695674,0.25551579971679056,0.3333333333333333,Hard-to-learn
34,3,0.6488235915700594,0.3903302412987158,0.6666666666666666,Ambiguous
35,3,0.683800995349884,0.07627946510822584,1.0,Easy-to-learn
36,3,0.694430780907472,0.42458863812307496,0.6666666666666666,Ambiguous
37,3,0.8786222537358602,0.14424947528468107,1.0,Easy-to-learn
38,3,0.5202214072148005,0.30991629741166477,0.6666666666666666,Ambiguous
39,3,0.7302143772443136,0.141077111428311,1.0,Easy-to-learn
40,3,0.18470664570728937,0.20837892144699416,0.3333333333333333,Hard-to-learn
41,3,0.013949055457487702,0.009273610620748045,0.0,Hard-to-learn
42,3,0.4896465788284938,0.1940374108769953,1.0,Easy-to-learn
43,3,0.10750759641329448,0.0978724401127695,0.0,Hard-to-learn
44,3,0.01930138922277062,0.01421836751874101,0.0,Hard-to-learn
45,3,0.2690207088987033,0.15973197575186043,0.3333333333333333,Hard-to-learn
46,3,0.1354884679118792,0.04675253133616562,0.0,Hard-to-learn
47,3,0.541456539365754,0.3912214212890555,0.6666666666666666,Ambiguous
48,3,0.5380897919336954,0.2905300000039227,1.0,Easy-to-learn
49,3,0.13409349384407201,0.09062661916418814,0.0,Hard-to-learn
50,3,0.276379053791364,0.1391221419381069,0.6666666666666666,Ambiguous
51,3,0.05769100862865647,0.06493559043213122,0.0,Hard-to-learn
52,3,0.8937408924102783,0.028870741695214145,1.0,Easy-to-learn
53,3,0.09798827519019444,0.09120334029986928,0.0,Hard-to-learn
54,3,0.9320739110310873,0.03126476806235226,1.0,Easy-to-learn
55,3,0.34884219368298847,0.1272390859007416,0.3333333333333333,Hard-to-learn
56,3,0.011009078472852707,0.011796271902592725,0.0,Hard-to-learn
57,3,0.5849587122599283,0.15578383956078024,1.0,Easy-to-learn
58,3,0.3478631277879079,0.09369683079431577,0.6666666666666666,Ambiguous
59,3,0.20405871917804083,0.16046757653334723,0.3333333333333333,Hard-to-learn
60,3,0.07083720838030179,0.027215559321097284,0.0,Hard-to-learn
61,3,0.5121310570587715,0.35956969471789535,0.6666666666666666,Ambiguous
62,3,0.7087982495625814,0.07477859116304535,1.0,Easy-to-learn
63,3,0.852207620938619,0.14609766246648795,1.0,Easy-to-learn
64,3,0.5052107175191244,0.15483850817100323,1.0,Easy-to-learn
65,3,0.4667732339973251,0.345217139074166,0.6666666666666666,Ambiguous
66,3,0.7743927637736002,0.1169570254186786,1.0,Easy-to-learn
67,3,1.0113440718365988e-05,2.213280748882297e-06,0.0,Hard-to-learn
68,3,0.9431517124176025,0.03799553486043961,1.0,Easy-to-learn
69,3,0.0020783577663223696,0.0025846906200146236,0.0,Hard-to-learn
70,3,0.2325884277621905,0.22223930324631117,1.0,Easy-to-learn
71,3,0.843357781569163,0.13693876963174784,1.0,Easy-to-learn
72,3,0.4532146056493123,0.16247014140870955,1.0,Easy-to-learn
73,3,0.2157293607791265,0.24679619018157106,0.3333333333333333,Hard-to-learn
74,3,0.676407516002655,0.17469416254546866,1.0,Easy-to-learn
75,3,0.8087804714838663,0.03167197399546039,1.0,Easy-to-learn
76,3,0.04394287885103646,0.035928847093571456,0.0,Hard-to-learn
77,3,0.735280434290568,0.10078682810574789,1.0,Easy-to-learn
78,3,0.058815281838178635,0.026866620181709527,0.0,Hard-to-learn
79,3,0.4857667237520218,0.1760654888395413,1.0,Easy-to-learn
80,3,0.5560108249386152,0.3808252652658477,0.6666666666666666,Ambiguous
81,3,0.34588669523751986,0.2586117543686648,0.6666666666666666,Ambiguous
82,3,0.3701871125267644,0.3674498641793062,0.3333333333333333,Hard-to-learn
83,3,0.6852365533510844,0.27125178338442824,0.6666666666666666,Ambiguous
84,3,0.1679810012380282,0.09919826970912544,0.0,Hard-to-learn
85,3,0.22394202649593353,0.04873466077315299,0.6666666666666666,Ambiguous
86,3,0.85601939757665,0.02381549144119821,1.0,Easy-to-learn
87,3,0.3335133083164692,0.2725805231863681,0.3333333333333333,Hard-to-learn
88,3,0.7139879167079926,0.3504083888823955,0.6666666666666666,Ambiguous
89,3,0.7290849288304647,0.17984972842549898,1.0,Easy-to-learn
90,3,0.29047249754269916,0.06152867138527486,0.3333333333333333,Hard-to-learn
91,3,0.4863973179211219,0.342354708642408,0.6666666666666666,Ambiguous
92,3,0.5701930501187841,0.39542194580921514,0.6666666666666666,Ambiguous
93,3,0.062202238477766514,0.038332894300471404,0.0,Hard-to-learn
94,3,0.6203771630922953,0.04291203310802501,1.0,Easy-to-learn
95,3,0.8347704807917277,0.18142123226249968,1.0,Easy-to-learn
96,3,0.1505109860251347,0.08776232872927274,0.0,Hard-to-learn
97,3,0.41890309130152065,0.29429047826305604,0.6666666666666666,Ambiguous
98,3,0.5342986943821112,0.35571446414310076,0.6666666666666666,Ambiguous
99,3,0.47195469339688617,0.07447923757405134,1.0,Easy-to-learn
100,3,0.5796143190370154,0.4099054572287342,0.6666666666666666,Ambiguous
101,3,0.01762028525979531,0.014841365207675422,0.0,Hard-to-learn
102,3,0.5037610828876495,0.16728403379672513,1.0,Easy-to-learn
103,3,0.0007410913652468784,0.000717011283191517,0.0,Hard-to-learn
104,3,0.19900286694367728,0.00913431364169217,0.0,Hard-to-learn
105,3,0.48383139570554096,0.12554518306386706,0.6666666666666666,Ambiguous
106,3,0.0921997440358003,0.046868046229461356,0.3333333333333333,Hard-to-learn
107,3,0.14475321920084147,0.19726056691330227,0.3333333333333333,Hard-to-learn
108,3,0.16720649351676306,0.09106404746147895,0.0,Hard-to-learn
